Identified Proteins (1448)	Accession Number	Molecular Weight	Protein Grouping Ambiguity	Roco4_PO1
50S ribosomal protein L24.	sp|P60624|RL24_ECOLI	11 kDa		0
50S ribosomal protein L14.	sp|P0ADY3|RL14_ECOLI	14 kDa		0
Autophagy-related protein 8-like protein DDB_G0290491 OS=Dictyostelium discoideum GN=DDB_G0290491 PE=3 SV=1	sp|Q54G11|ATG8L_DICDI	15 kDa	TRUE	0
Isochorismatase family protein 1B OS=Dictyostelium discoideum GN=DDB_G0284901 PE=3 SV=1	sp|Q54NZ8|ISC1B_DICDI	24 kDa	TRUE	1
Carboxymethylenebutenolidase homolog OS=Dictyostelium discoideum GN=cmbl PE=3 SV=1	sp|Q54MZ9|CMBL_DICDI	29 kDa		0
Cytochrome b5 domain-containing protein OS=Dictyostelium discoideum GN=DDB_G0270752 PE=3 SV=2	tr|Q55C71|Q55C71_DICDI	21 kDa		1
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0217949 PE=4 SV=1	tr|Q54ZW2|Q54ZW2_DICDI	15 kDa		0
DUF255 family protein OS=Dictyostelium discoideum GN=DDB_0202012 PE=4 SV=1	tr|Q55BX2|Q55BX2_DICDI	95 kDa	TRUE	0
U1 small nuclear ribonucleoprotein 70 kDa OS=Dictyostelium discoideum GN=snrnp70 PE=3 SV=1	sp|Q55FQ0|RU17_DICDI	53 kDa		3
Signal recognition particle 14 kDa protein OS=Dictyostelium discoideum GN=srp14-1 PE=3 SV=1	sp|Q556L1|SRP14_DICDI	14 kDa		1
SCF ubiquitin ligase complex protein SKP1b OS=Dictyostelium discoideum GN=fpaB-1 PE=1 SV=1	sp|Q557E4|SKP1B_DICDI	19 kDa	TRUE	0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0186294 PE=4 SV=1	tr|Q54NU7|Q54NU7_DICDI	28 kDa		0
Serine/threonine-protein kinase pakC OS=Dictyostelium discoideum GN=pakC PE=1 SV=1	sp|Q55GV3|PAKC_DICDI	56 kDa	TRUE	3
Peptidoglycan-associated lipoprotein pre	sp|P0A912|PAL_ECOLI	19 kDa		1
Protein MEMO1 homolog OS=Dictyostelium discoideum GN=memo1 PE=3 SV=1	sp|Q54NZ1|MEMO1_DICDI	33 kDa		0
PUA domain-containing protein OS=Dictyostelium discoideum GN=DDB_0187117 PE=4 SV=1	tr|Q54LB6|Q54LB6_DICDI	37 kDa		0
"Ribosomal protein S2, mitochondrial OS=Dictyostelium discoideum GN=mrps2 PE=3 SV=1"	sp|Q9XPI7|RT02_DICDI	28 kDa	TRUE	2
"ATP synthase subunit delta, mitochondrial OS=Dictyostelium discoideum GN=atp5D PE=3 SV=1"	sp|Q55F42|ATPD_DICDI	19 kDa		1
Short-chain dehydrogenase/reductase family protein OS=Dictyostelium discoideum GN=DDB_0188841 PE=3 SV=1	tr|Q54G79|Q54G79_DICDI	34 kDa		2
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0219665 PE=4 SV=1	tr|Q54ET9|Q54ET9_DICDI	32 kDa	TRUE	1
Mitochondrial substrate carrier family protein G OS=Dictyostelium discoideum GN=mcfG PE=2 SV=1	sp|Q54BM3|MCFG_DICDI	32 kDa		2
Probable myosin light chain kinase DDB_G0282429 OS=Dictyostelium discoideum GN=DDB_G0282429 PE=3 SV=1	sp|Q54SJ5|MYLKC_DICDI	35 kDa		0
Activator of 90 kDa heat shock protein ATPase homolog OS=Dictyostelium discoideum GN=ahsa PE=2 SV=1	sp|Q55DB6|AHSA_DICDI	43 kDa		0
AAA ATPase domain-containing protein OS=Dictyostelium discoideum GN=rvb1 PE=4 SV=1	tr|Q54C28|Q54C28_DICDI	57 kDa		0
Sumo-conjugating enzyme ubc9 OS=Dictyostelium discoideum GN=ubc9 PE=3 SV=1	sp|Q9NGP4|UBC9_DICDI	18 kDa		2
"Succinate dehydrogenase cytochrome b560 subunit, mitochondrial OS=Dictyostelium discoideum GN=sdhC PE=3 SV=1"	sp|Q8T2T5|C560_DICDI	21 kDa		0
DUF544 family protein OS=Dictyostelium discoideum GN=fam63A PE=4 SV=1	tr|Q55D67|Q55D67_DICDI	46 kDa		2
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0186532 PE=4 SV=1	tr|Q54N53|Q54N53_DICDI	21 kDa		2
LIM-type zinc finger-containing protein OS=Dictyostelium discoideum GN=limD PE=4 SV=1	rtr|Q54EY5|Q54EY5_DICDI	73 kDa		0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_G0287403 PE=4 SV=1	tr|Q54KD3|Q54KD3_DICDI	17 kDa		0
Probable serine/threonine-protein kinase DDB_G0292354 OS=Dictyostelium discoideum GN=DDB_G0292354 PE=3 SV=1	sp|Q54DF7|Y2354_DICDI	55 kDa		0
CwfJ family protein OS=Dictyostelium discoideum GN=DDB_0218683 PE=4 SV=1	tr|Q54NJ5|Q54NJ5_DICDI	73 kDa		0
Oxysterol-binding protein 6 OS=Dictyostelium discoideum GN=osbF PE=3 SV=1	sp|Q86HV4|OSB6_DICDI	50 kDa	TRUE	3
Eukaryotic initiation factor 4A OS=Dictyostelium discoideum GN=tifA PE=3 SV=1	sp|Q55D61|IF4A_DICDI	46 kDa	TRUE	4
Putative uncharacterized protein mapbpip OS=Dictyostelium discoideum GN=mapbpip PE=4 SV=2	tr|Q54F59|Q54F59_DICDI	14 kDa		0
"Probable 39S ribosomal protein L21, mitochondrial OS=Dictyostelium discoideum GN=mrpl21 PE=3 SV=1"	sp|Q54IF0|RM21_DICDI	19 kDa		0
"2-oxoisovalerate dehydrogenase subunit alpha, mitochondrial OS=Dictyostelium discoideum GN=bkdA PE=3 SV=1"	sp|Q54M22|ODBA_DICDI	50 kDa		2
50S ribosomal protein L18.	sp|P0C018|RL18_ECOLI	13 kDa	TRUE	0
Discoidin I-gamma (Fragment) OS=Dictyostelium discoideum PE=4 SV=1	tr|Q23900|Q23900_DICDI	4 kDa		1
NADH-ubiquinone oxidoreductase subunit 9 OS=Dictyostelium discoideum GN=nad9 PE=3 SV=1	sp|P22237|NDUS3_DICDI	25 kDa		0
Rod shape-determining protein mreB.	sp|P0A9X4|MREB_ECOLI	37 kDa		0
Protein hflC (EC 3.4.-.-).	sp|P0ABC3|HFLC_ECOLI	38 kDa		0
HTH-type transcriptional regulator zntR	sp|P0ACS5|ZNTR_ECOLI	16 kDa		0
Chaperone protein dnaJ (Heat shock prote	sp|P08622|DNAJ_ECOLI	41 kDa		0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0186941 PE=4 SV=1	tr|Q54LW1|Q54LW1_DICDI	27 kDa	TRUE	1
Diphthine synthase OS=Dictyostelium discoideum GN=dph5 PE=3 SV=1	sp|Q75JG8|DPH5_DICDI	31 kDa		2
Branched-chain-amino-acid aminotransfera	sp|P0AB80|ILVE_ECOLI	34 kDa		0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0184122 PE=4 SV=1	tr|Q54DZ8|Q54DZ8_DICDI	55 kDa		2
Citrate synthase OS=Dictyostelium discoideum GN=gltA PE=3 SV=1	sp|Q86AV6|CISYC_DICDI (+1)	58 kDa		0
Mannose-6-phosphate receptor domain-containing protein OS=Dictyostelium discoideum GN=DDB_0215329 PE=4 SV=1	tr|Q54XB6|Q54XB6_DICDI	27 kDa		2
COMM domain-containing protein 2 OS=Dictyostelium discoideum GN=commd2 PE=4 SV=1	sp|Q54P14|COMD2_DICDI	23 kDa		1
Ubiquitin system component Cue domain containing protein OS=Dictyostelium discoideum GN=DDB_0191017 PE=4 SV=1	tr|Q55BS4|Q55BS4_DICDI	107 kDa		0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0202598 PE=4 SV=1	tr|Q553P3|Q553P3_DICDI	25 kDa		0
Maf-like protein DDB_G0281937 OS=Dictyostelium discoideum GN=DDB_G0281937 PE=3 SV=1	sp|Q54TC5|MAFL2_DICDI	22 kDa		0
Peptidase C53 family protein OS=Dictyostelium discoideum GN=DDB_G0275693 PE=2 SV=1	tr|Q95UC5|Q95UC5_DICDI	77 kDa		2
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0187589 PE=4 SV=1	tr|Q54JZ6|Q54JZ6_DICDI	47 kDa		1
Translation initiation factor eIF-2B subunit alpha OS=Dictyostelium discoideum GN=eif2b1 PE=3 SV=1	sp|Q54I81|EI2BA_DICDI	36 kDa		2
Putative uncharacterized protein empD OS=Dictyostelium discoideum GN=empD PE=2 SV=1	tr|Q769F6|Q769F6_DICDI	25 kDa		4
Purine nucleoside phosphorylase deoD-typ	sp|P0ABP8|DEOD_ECOLI	26 kDa		0
Probable ethanolamine kinase A OS=Dictyostelium discoideum GN=etnkA PE=3 SV=1	sp|Q869T9|EKIA_DICDI	41 kDa		2
SH3 and FCH domain-containing protein DDB_G0271676 OS=Dictyostelium discoideum GN=DDB_G0271676 PE=4 SV=1	sp|Q75JD4|Y1676_DICDI	60 kDa		0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0217857 PE=4 SV=1	tr|Q550W5|Q550W5_DICDI	32 kDa		3
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0167260 PE=4 SV=1	tr|Q86HC7|Q86HC7_DICDI	14 kDa	TRUE	0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0167972 PE=4 SV=1	tr|Q556I6|Q556I6_DICDI	61 kDa		0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0187714 PE=4 SV=1	tr|Q54JL5|Q54JL5_DICDI	39 kDa		3
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0191031 PE=4 SV=1	tr|Q55BQ9|Q55BQ9_DICDI	25 kDa		0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0189134 PE=4 SV=1	tr|Q54FF8|Q54FF8_DICDI	20 kDa	TRUE	2
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_G0272913 PE=4 SV=2	tr|Q559E5|Q559E5_DICDI	28 kDa		0
tRNA pseudouridine synthase D OS=Dictyostelium discoideum GN=pus7 PE=4 SV=1	tr|Q86JH5|Q86JH5_DICDI	83 kDa		3
NADH:flavin oxidoreductase/NADH oxidase domain-containing protein OS=Dictyostelium discoideum GN=DDB_0187621 PE=4 SV=1	tr|Q54JW3|Q54JW3_DICDI	49 kDa		0
Probable prefoldin subunit 1 OS=Dictyostelium discoideum GN=pfdn1 PE=3 SV=1	sp|Q54JS0|PFD1_DICDI	13 kDa		0
Geranylgeranyl transferase type-1 subunit beta OS=Dictyostelium discoideum GN=pggt1b PE=2 SV=1	sp|Q55DA3|PGTB1_DICDI	39 kDa		0
FACT complex subunit SSRP1 OS=Dictyostelium discoideum GN=ssrp1 PE=3 SV=1	sp|Q54G78|SSRP1_DICDI	60 kDa		0
"Pyridine nucleotide-disulphide oxidoreductase, NAD-binding region domain-containing protein OS=Dictyostelium discoideum GN=DDB_0168392 PE=4 SV=1"	tr|Q86AE2|Q86AE2_DICDI	66 kDa	TRUE	4
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0167648 PE=4 SV=1	rtr|Q869S6|Q869S6_DICDI	45 kDa		0
Glycoprotein 24B OS=Dictyostelium discoideum GN=csbB PE=1 SV=1	sp|P16643|CSBB_DICDI	12 kDa		0
Ras-related protein Rab-32C OS=Dictyostelium discoideum GN=rab32C PE=3 SV=2	sp|Q8MXQ2|RB32C_DICDI	26 kDa	TRUE	0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0216552 PE=4 SV=1	tr|Q55G90|Q55G90_DICDI	30 kDa		0
Calcium up-regulated protein C OS=Dictyostelium discoideum GN=cupC PE=2 SV=1	sp|Q7Z202|CUPC_DICDI	85 kDa	TRUE	5
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0187741 PE=4 SV=1	tr|Q54JI8|Q54JI8_DICDI	53 kDa		3
Lysine-specific demethylase NO66 OS=Dictyostelium discoideum GN=jcdg PE=3 SV=1	sp|Q54K96|NO66_DICDI	59 kDa		0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0167402 PE=3 SV=1	tr|Q869Y3|Q869Y3_DICDI	34 kDa		3
"Probable 28S ribosomal protein S10, mitochondrial OS=Dictyostelium discoideum GN=mrps10 PE=3 SV=1"	sp|Q54WA4|RT10_DICDI	15 kDa		0
Putative uncharacterized protein DDB_G0287991 OS=Dictyostelium discoideum GN=DDB_G0287991 PE=4 SV=1	sp|Q54JK5|Y7724_DICDI	32 kDa		0
50S ribosomal protein L3.	sp|P60438|RL3_ECOLI	22 kDa		0
NHP2-like protein 1 homolog OS=Dictyostelium discoideum GN=DDB_G0282243 PE=3 SV=1	sp|Q54ST0|NH2L1_DICDI	14 kDa		0
VID27-like protein OS=Dictyostelium discoideum GN=DDB_G0274813 PE=3 SV=1	sp|Q555V7|VID27_DICDI	108 kDa	TRUE	0
Glutamate-rich WD repeat-containing protein 1 OS=Dictyostelium discoideum GN=grwd1 PE=3 SV=1	sp|Q54ED4|GRWD1_DICDI	55 kDa		2
"GrpE protein homolog, mitochondrial OS=Dictyostelium discoideum GN=grpE PE=3 SV=1"	sp|Q54QF9|GRPE_DICDI	25 kDa		0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0167667 PE=4 SV=1	tr|Q86HR5|Q86HR5_DICDI	45 kDa	TRUE	1
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0216102 PE=4 SV=1	tr|Q54HI5|Q54HI5_DICDI	81 kDa		2
Beta-galactosidase (EC 3.2.1.23) (Lactas	sp|P00722|BGAL_ECOLI	116 kDa		0
Lipoprotein yfgL precursor.	sp|P77774|YFGL_ECOLI	42 kDa		0
COMM domain-containing protein 1 OS=Dictyostelium discoideum GN=commd1 PE=4 SV=1	sp|Q54DR0|COMD1_DICDI	22 kDa		0
DNA-directed RNA polymerase alpha chain	sp|P0A7Z4|RPOA_ECOLI	37 kDa		2
COMM domain-containing protein 7 OS=Dictyostelium discoideum GN=commd7 PE=4 SV=1	sp|Q86I14|COMD7_DICDI	24 kDa		0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_G0287735 PE=4 SV=1	tr|Q54JY6|Q54JY6_DICDI	53 kDa		0
Probable adenosine deaminase OS=Dictyostelium discoideum GN=ada PE=3 SV=1	sp|Q54KF3|ADA_DICDI	88 kDa		1
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0203317 PE=4 SV=1	tr|Q556D4|Q556D4_DICDI	21 kDa		0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0189492 PE=4 SV=1	tr|Q55GC9|Q55GC9_DICDI	26 kDa		3
UPF0552 protein OS=Dictyostelium discoideum GN=DDB_G0291009 PE=3 SV=1	sp|Q54F87|U552_DICDI	25 kDa	TRUE	0
Ponticulin-like protein C1 OS=Dictyostelium discoideum GN=ponC1 PE=3 SV=1	sp|Q54LC2|PONC1_DICDI (+3)	15 kDa		0
Extracellular signal-regulated kinase 2 OS=Dictyostelium discoideum GN=erkB PE=2 SV=1	sp|Q54QB1|ERK2_DICDI	42 kDa		0
RNA-binding region RNP-1 domain-containing protein OS=Dictyostelium discoideum GN=DDB_G0275459 PE=4 SV=1	rtr|Q75K16|Q75K16_DICDI	32 kDa		0
Actobindin-B/C OS=Dictyostelium discoideum GN=abnB PE=3 SV=1	sp|Q55DU1|ACTOB_DICDI	10 kDa		2
Neutral ceramidase A OS=Dictyostelium discoideum GN=dcd2A PE=1 SV=1	sp|Q54BK2|NCSEA_DICDI	78 kDa		3
"Aminomethyltransferase, mitochondrial OS=Dictyostelium discoideum GN=gcvT PE=3 SV=1"	sp|Q54DD3|GCST_DICDI	44 kDa		3
Cytoplasmic dynein 1 light intermediate chain 1 OS=Dictyostelium discoideum GN=dync1li1 PE=3 SV=1	sp|Q54CI8|DC1L1_DICDI	57 kDa		0
Isochorismatase hydrolase OS=Dictyostelium discoideum GN=DDB_G0295669 PE=4 SV=1	tr|B0G192|B0G192_DICDI	20 kDa		0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0187265 PE=4 SV=1	tr|Q54KW1|Q54KW1_DICDI	14 kDa		0
ATP synthase alpha chain (EC 3.6.3.14).	sp|P0ABB0|ATPA_ECOLI	55 kDa		0
"Guanosine-3',5'-bis 3'-diphosphatase OS=Dictyostelium discoideum GN=spoT PE=4 SV=1"	tr|Q54KN3|Q54KN3_DICDI	24 kDa		0
COMM domain-containing protein 4 OS=Dictyostelium discoideum GN=commd4 PE=4 SV=1	sp|Q550I8|COMD4_DICDI	20 kDa		0
Malignant T cell amplified sequence 1 homolog OS=Dictyostelium discoideum GN=mcts1 PE=3 SV=1	sp|Q86KL4|MCTS1_DICDI	20 kDa		0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0187238 PE=4 SV=1	tr|Q54KY9|Q54KY9_DICDI	33 kDa		0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0185767 PE=4 SV=1	tr|Q54QC2|Q54QC2_DICDI	53 kDa	TRUE	0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0167952 PE=4 SV=1	tr|Q556G9|Q556G9_DICDI	46 kDa		3
30S ribosomal protein S10.	sp|P0A7R5|RS10_ECOLI	12 kDa		0
Probable 2-aminoethanethiol dioxygenase OS=Dictyostelium discoideum GN=ado-1 PE=3 SV=1	sp|Q556I2|AEDO_DICDI	26 kDa		0
"Coenzyme Q-binding protein COQ10, mitochondrial OS=Dictyostelium discoideum GN=coq10-1 PE=3 SV=1"	sp|Q556V1|COQ10_DICDI	24 kDa		0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0169101 PE=4 SV=1	tr|Q86K69|Q86K69_DICDI	14 kDa		0
Comitin OS=Dictyostelium discoideum GN=comA PE=1 SV=1	sp|Q03380|COMI_DICDI	21 kDa		1
6-pyruvoyl tetrahydrobiopterin synthase OS=Dictyostelium discoideum GN=ptsA PE=3 SV=1	sp|Q1ZXI0|PTPS_DICDI	16 kDa	TRUE	0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0217047 PE=4 SV=1	tr|Q559G7|Q559G7_DICDI	163 kDa		0
Pectin lyase-like family protein OS=Dictyostelium discoideum GN=DDB_0205366 PE=4 SV=1	tr|Q54YC0|Q54YC0_DICDI	63 kDa		2
Glutathione S-transferase domain-containing protein DDB_G0274223 OS=Dictyostelium discoideum GN=DDB_G0274223 PE=3 SV=1	sp|Q8SSU2|Y4223_DICDI	30 kDa		1
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0186033 PE=4 SV=1	tr|Q54PK7|Q54PK7_DICDI	44 kDa		1
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0184562 PE=4 SV=1	tr|Q54CT5|Q54CT5_DICDI	41 kDa		2
Probable coatomer subunit zeta-A OS=Dictyostelium discoideum GN=copza PE=3 SV=1	sp|Q54HD4|COPZA_DICDI	20 kDa		0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0188759 PE=4 SV=1	tr|Q54GG6|Q54GG6_DICDI	41 kDa		0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0188514 PE=4 SV=1	tr|Q54H66|Q54H66_DICDI	10 kDa		3
Random slug protein 5 OS=Dictyostelium discoideum GN=rsc5 PE=2 SV=1	sp|Q55CU8|RSC5_DICDI	42 kDa		2
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0189177 PE=4 SV=1	tr|Q54FB9|Q54FB9_DICDI	52 kDa		2
Thioredoxin 1 (TRX1) (TRX).	sp|P0AA25|THIO_ECOLI	12 kDa		0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0202072 PE=4 SV=1	tr|Q55GT0|Q55GT0_DICDI	76 kDa		2
Galactose-binding domain-containing protein OS=Dictyostelium discoideum GN=DDB_0205208 PE=4 SV=1	tr|Q54VC6|Q54VC6_DICDI	17 kDa		0
Translation initiation factor eIF-2B subunit beta OS=Dictyostelium discoideum GN=eif2b2 PE=3 SV=1	sp|Q54EY2|EI2BB_DICDI	44 kDa		0
Poly glycohydrolase OS=Dictyostelium discoideum GN=parG PE=4 SV=1	tr|Q54Z28|Q54Z28_DICDI	74 kDa		0
Monothiol glutaredoxin-5 OS=Dictyostelium discoideum GN=grx5 PE=3 SV=1	sp|Q555C8|GLRX5_DICDI	16 kDa		0
Ketol-acid reductoisomerase (EC 1.1.1.86	sp|P05793|ILVC_ECOLI	54 kDa		0
Transcription antitermination protein nu	sp|P0AFG0|NUSG_ECOLI	20 kDa		0
Beta-hexosaminidase subunit A2 OS=Dictyostelium discoideum GN=hexa2 PE=3 SV=1	sp|Q54SC9|HEXA2_DICDI	62 kDa	TRUE	0
Phosphatidylinositide phosphatase SAC1 OS=Dictyostelium discoideum GN=sac1 PE=3 SV=1	sp|Q55AW9|SAC1_DICDI	67 kDa		0
"NADH dehydrogenase [ubiquinone] iron-sulfur protein 7, mitochondrial OS=Dictyostelium discoideum GN=ndufs7 PE=3 SV=1"	sp|Q54NI6|NDUS7_DICDI	20 kDa		3
Hypothetical UPF0325 protein yaeH.	sp|P62768|YAEH_ECOLI	15 kDa		0
Ribonucleoside-diphosphate reductase small subunit OS=Dictyostelium discoideum GN=rnrB-1 PE=2 SV=2	sp|P42521|RIR2_DICDI	39 kDa	TRUE	0
Trigger factor (TF).	sp|P0A850|TIG_ECOLI	48 kDa		0
Calmodulin OS=Dictyostelium discoideum GN=calA PE=1 SV=3	sp|P02599|CALM_DICDI	17 kDa		0
40S ribosomal protein S28 OS=Dictyostelium discoideum GN=rps28 PE=3 SV=1	sp|Q54MZ5|RS28_DICDI	8 kDa		2
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0185860 PE=4 SV=1	tr|Q54Q32|Q54Q32_DICDI	16 kDa		0
Lipoprotein signal peptidase (EC 3.4.23.	rsp|P00804|LSPA_ECOLI	18 kDa		0
Probable RNA 3'-terminal phosphate cyclase OS=Dictyostelium discoideum GN=rtc1 PE=3 SV=1	sp|O15746|RTC1_DICDI	47 kDa		0
Universal stress protein G.	sp|P39177|USPG_ECOLI	16 kDa		0
30S ribosomal protein S21.	sp|P68679|RS21_ECOLI	8 kDa		0
Isochorismatase family protein 2B OS=Dictyostelium discoideum GN=DDB_G0283199 PE=3 SV=1	sp|Q54RC7|ISC2B_DICDI	24 kDa		0
Uncharacterized FAM18-like protein 1 OS=Dictyostelium discoideum GN=DDB_G0276319 PE=3 SV=1	sp|Q86I95|FA18A_DICDI	22 kDa		0
Isopentenyl-diphosphate Delta-isomerase OS=Dictyostelium discoideum GN=ipi PE=2 SV=1	sp|Q9NH02|IDI_DICDI	28 kDa	TRUE	0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0186233 PE=4 SV=1	tr|Q54P12|Q54P12_DICDI	23 kDa		0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0169034 PE=4 SV=1	tr|Q86L03|Q86L03_DICDI	85 kDa	TRUE	0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0167279 PE=4 SV=2	tr|Q8MXM8|Q8MXM8_DICDI	11 kDa		0
Nitrilase homolog 1 OS=Dictyostelium discoideum GN=nit1-1 PE=3 SV=1	sp|Q557J5|NIT1_DICDI	33 kDa		0
