Identified Proteins (1603)	Accession Number	Molecular Weight	Protein Grouping Ambiguity	Ga4_PO
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0217906 PE=4 SV=1	tr|Q550I1|Q550I1_DICDI	56 kDa	TRUE	1
7-fold repeat in clathrin and VPS proteins repeat-containing protein OS=Dictyostelium discoideum GN=vps18 PE=4 SV=1	tr|Q55CS3|Q55CS3_DICDI	124 kDa		3
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0186709 PE=4 SV=1	tr|Q54MM9|Q54MM9_DICDI	27 kDa	TRUE	1
Signal recognition particle subunit SRP68 OS=Dictyostelium discoideum GN=srp68 PE=3 SV=1	sp|Q1ZXE8|SRP68_DICDI	71 kDa		1
Phosphate acetyltransferase (EC 2.3.1.8)	sp|P0A9M8|PTA_ECOLI	77 kDa		4
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_G0283871 PE=4 SV=1	tr|Q54QJ8|Q54QJ8_DICDI	30 kDa		0
Aldehyde dehydrogenase A (EC 1.2.1.22) (	sp|P25553|ALDA_ECOLI	52 kDa		4
Mo25-like family protein OS=Dictyostelium discoideum GN=DDB_G0284307 PE=4 SV=1	tr|C7G028|C7G028_DICDI	42 kDa		0
Sepiapterin reductase OS=Dictyostelium discoideum GN=sprA PE=1 SV=1	sp|Q54GP3|SPRE_DICDI	30 kDa	TRUE	0
Eukaryotic translation initiation factor 3 subunit I OS=Dictyostelium discoideum GN=eif3i PE=3 SV=1	sp|Q54MT0|EIF3I_DICDI	37 kDa		4
Mitochondrial translation elongation factor G OS=Dictyostelium discoideum GN=gfm2 PE=4 SV=1	tr|Q55G92|Q55G92_DICDI	85 kDa	TRUE	4
AP-3 complex subunit mu OS=Dictyostelium discoideum GN=apm3 PE=2 SV=1	sp|Q9GPF1|AP3M_DICDI	47 kDa	TRUE	0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0219676 PE=3 SV=1	tr|Q54EI4|Q54EI4_DICDI	34 kDa		0
Phytanoyl-CoA dioxygenase domain-containing protein 1 homolog OS=Dictyostelium discoideum GN=phyhd1 PE=3 SV=1	sp|Q54XH6|PHYD1_DICDI	32 kDa	TRUE	0
Dolichol-phosphate mannosyltransferase OS=Dictyostelium discoideum GN=dpm1 PE=3 SV=1	sp|Q54LP3|DPM1_DICDI	29 kDa		4
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0190067 PE=4 SV=1	tr|Q55EM4|Q55EM4_DICDI	16 kDa	TRUE	0
Chain length determinant protein (Polysa	sp|P76372|WZZB_ECOLI	36 kDa		0
Probable oligoribonuclease OS=Dictyostelium discoideum GN=rexo2-1 PE=3 SV=1	sp|Q556Y2|ORN_DICDI	22 kDa		0
Uncharacterized protein DDB_G0292160 OS=Dictyostelium discoideum GN=DDB_G0292160 PE=4 SV=1	sp|Q1ZXA8|Y1625_DICDI	19 kDa	TRUE	0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0217941 PE=4 SV=1	tr|Q54ZX6|Q54ZX6_DICDI	34 kDa	TRUE	0
DNA polymerase I (EC 2.7.7.7) (POL I).	sp|P00582|DPO1_ECOLI	103 kDa		4
Dihydroxybiphenyl dioxygenase domain-containing protein OS=Dictyostelium discoideum GN=DDB_G0285595 PE=4 SV=1	tr|Q54MZ6|Q54MZ6_DICDI	22 kDa		0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0216552 PE=4 SV=1	tr|Q55G90|Q55G90_DICDI	30 kDa		0
Isopentenyl-diphosphate Delta-isomerase OS=Dictyostelium discoideum GN=ipi PE=2 SV=1	sp|Q9NH02|IDI_DICDI	28 kDa		0
DnaJ homolog subfamily C member 7 homolog OS=Dictyostelium discoideum GN=dnajc7 PE=1 SV=1	sp|Q54IP0|DNJC7_DICDI	60 kDa	TRUE	0
Rho-related protein racH OS=Dictyostelium discoideum GN=racH PE=3 SV=1	sp|Q9GPR7|RACH_DICDI	22 kDa		0
Carboxymethylenebutenolidase homolog OS=Dictyostelium discoideum GN=cmbl PE=3 SV=1	sp|Q54MZ9|CMBL_DICDI	29 kDa		0
Ras-related protein Rab-18 OS=Dictyostelium discoideum GN=rab18 PE=3 SV=1	sp|Q54GY8|RAB18_DICDI	23 kDa	TRUE	0
Hydroxymethylglutaryl-CoA synthase B OS=Dictyostelium discoideum GN=hgsB PE=3 SV=1	sp|Q86HL5|HMCSB_DICDI	53 kDa		0
Threonine ammonia-lyase OS=Dictyostelium discoideum GN=DDB_G0277245 PE=4 SV=1	tr|Q86AP7|Q86AP7_DICDI	131 kDa	TRUE	4
Probable cytochrome P450 508A4 OS=Dictyostelium discoideum GN=cyp508a4 PE=3 SV=1	sp|Q1ZXF5|C5084_DICDI	58 kDa	TRUE	0
Methionine aminopeptidase 1 OS=Dictyostelium discoideum GN=metap1 PE=3 SV=1	sp|Q54WU3|AMPM1_DICDI	41 kDa		0
Signal peptidase I (EC 3.4.21.89) (SPase	sp|P00803|LEP_ECOLI	36 kDa		0
60S ribosomal protein L31 OS=Dictyostelium discoideum GN=rpl31 PE=3 SV=1	sp|Q54XB5|RL31_DICDI	13 kDa		0
50S ribosomal protein L19.	sp|P0A7K6|RL19_ECOLI	13 kDa		0
Ras-related protein Rab-2A OS=Dictyostelium discoideum GN=rab2A PE=2 SV=2	sp|P36409|RAB2A_DICDI	23 kDa		3
Putative uncharacterized protein empD OS=Dictyostelium discoideum GN=empD PE=2 SV=1	tr|Q769F6|Q769F6_DICDI	25 kDa		1
50S ribosomal protein L22.	sp|P61175|RL22_ECOLI	12 kDa		1
Succinate dehydrogenase iron-sulfur prot	sp|P07014|DHSB_ECOLI	27 kDa	TRUE	1
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0186233 PE=4 SV=1	tr|Q54P12|Q54P12_DICDI	23 kDa	TRUE	1
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0191014 PE=4 SV=1	tr|Q55BS7|Q55BS7_DICDI	26 kDa		1
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_G0268264 PE=4 SV=1	tr|Q55GV2|Q55GV2_DICDI	18 kDa		2
UPF0552 protein OS=Dictyostelium discoideum GN=DDB_G0291009 PE=3 SV=1	sp|Q54F87|U552_DICDI	25 kDa		0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_G0271120 PE=4 SV=2	tr|Q55BK1|Q55BK1_DICDI	60 kDa	TRUE	0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0185435 PE=3 SV=1	tr|Q54RA4|Q54RA4_DICDI	42 kDa	TRUE	2
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0186941 PE=4 SV=1	tr|Q54LW1|Q54LW1_DICDI	27 kDa		2
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0183956 PE=4 SV=1	tr|Q54EF9|Q54EF9_DICDI	42 kDa		1
Ribose-phosphate pyrophosphokinase (EC 2	sp|P0A717|KPRS_ECOLI	34 kDa		1
Extracellular signal-regulated kinase 1 OS=Dictyostelium discoideum GN=erkA PE=2 SV=2	sp|P42525|ERK1_DICDI	61 kDa		0
Tetratricopeptide-like helical domain-containing protein OS=Dictyostelium discoideum GN=prpf39 PE=4 SV=1	tr|Q54R91|Q54R91_DICDI	82 kDa	TRUE	2
Glutaredoxin-like protein OS=Dictyostelium discoideum GN=grxB PE=3 SV=1	sp|Q54EX7|GLRXL_DICDI	14 kDa		0
"Prohibitin-1, mitochondrial OS=Dictyostelium discoideum GN=phbA PE=3 SV=1"	sp|Q54GI9|PHB1_DICDI	30 kDa	TRUE	6
Eukaryotic translation initiation factor 5 OS=Dictyostelium discoideum GN=eif5 PE=3 SV=1	sp|Q54LA1|IF5_DICDI	45 kDa		0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0187950 PE=4 SV=1	tr|Q54IX4|Q54IX4_DICDI	37 kDa	TRUE	2
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0185424 PE=4 SV=1	tr|Q54RB5|Q54RB5_DICDI	29 kDa		1
3-ketodihydrosphingosine reductase OS=Dictyostelium discoideum GN=ksrA-1 PE=3 SV=1	sp|Q556J2|KDSR_DICDI	36 kDa	TRUE	1
NAD-dependent epimerase/dehydratase family protein OS=Dictyostelium discoideum GN=DDB_0187393 PE=1 SV=1	tr|Q54KL2|Q54KL2_DICDI	38 kDa		2
Protein phosphatase 2C OS=Dictyostelium discoideum GN=DDB_0205493 PE=3 SV=1	tr|Q54Y00|Q54Y00_DICDI	33 kDa		1
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0191671 PE=4 SV=1	tr|Q54CK4|Q54CK4_DICDI	39 kDa	TRUE	2
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0190795 PE=4 SV=1	tr|Q55CE9|Q55CE9_DICDI	61 kDa		0
"Delta(3,5)-Delta(2,4)-dienoyl-CoA isomerase, mitochondrial OS=Dictyostelium discoideum GN=ech1 PE=3 SV=1"	sp|Q54SS0|ECH1_DICDI	33 kDa		3
Uncharacterized transmembrane protein DDB_G0282483 OS=Dictyostelium discoideum GN=DDB_G0282483 PE=4 SV=1	sp|Q54SG3|Y4788_DICDI	40 kDa		0
Mitochondrial GTPase OS=Dictyostelium discoideum GN=gemA PE=4 SV=1	tr|Q55G45|Q55G45_DICDI	75 kDa		1
60S acidic ribosomal protein P2 OS=Dictyostelium discoideum GN=rplp2 PE=1 SV=3	sp|P22683|RLA2_DICDI	11 kDa	TRUE	0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0185703 PE=4 SV=1	tr|Q54QI3|Q54QI3_DICDI	56 kDa	TRUE	0
Heat shock 70-related protein 5 OS=Dictyostelium discoideum GN=DDB_G0285709 PE=3 SV=1	sp|Q54MR6|HS7C5_DICDI	57 kDa	TRUE	2
Aminotransferase class-III OS=Dictyostelium discoideum GN=DDB_G0290721 PE=3 SV=1	tr|Q1ZXC3|Q1ZXC3_DICDI	55 kDa		1
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0188878 PE=3 SV=1	tr|Q54G44|Q54G44_DICDI	126 kDa	TRUE	1
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0189869 PE=1 SV=1	tr|Q55F84|Q55F84_DICDI	51 kDa		0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0188942 PE=4 SV=1	tr|Q54FX9|Q54FX9_DICDI	53 kDa	TRUE	1
Guanylate kinase OS=Dictyostelium discoideum GN=guk1 PE=3 SV=1	sp|Q54XF2|KGUA_DICDI	23 kDa	TRUE	1
Cell division protein ftsH (EC 3.4.24.-)	sp|P0AAI3|FTSH_ECOLI	71 kDa		0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0169401 PE=4 SV=1	tr|Q86AW2|Q86AW2_DICDI	49 kDa		1
PUA domain-containing protein OS=Dictyostelium discoideum GN=DDB_0187117 PE=4 SV=1	tr|Q54LB6|Q54LB6_DICDI	37 kDa		1
Gamma-glutamyl hydrolase A OS=Dictyostelium discoideum GN=gghA PE=3 SV=1	sp|Q54LN4|GGHA_DICDI	36 kDa		1
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0217531 PE=4 SV=1	tr|Q869Q9|Q869Q9_DICDI	41 kDa		0
Galactokinase OS=Dictyostelium discoideum GN=galK PE=3 SV=1	sp|Q54DN6|GALK_DICDI	56 kDa		2
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0218187 PE=4 SV=1	tr|Q54WC4|Q54WC4_DICDI	43 kDa	TRUE	2
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0206238 PE=4 SV=1	tr|Q54XM2|Q54XM2_DICDI	125 kDa	TRUE	2
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0167946 PE=4 SV=1	tr|Q556G2|Q556G2_DICDI	24 kDa		2
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0188012 PE=4 SV=1	tr|Q54IQ2|Q54IQ2_DICDI	78 kDa	TRUE	5
Signal peptidase complex subunit 2 OS=Dictyostelium discoideum GN=spcs2 PE=3 SV=2	sp|Q55E35|SPCS2_DICDI	21 kDa		0
Protein ais.	sp|P45565|AIS_ECOLI	22 kDa		0
4-aminobutyrate aminotransferase (EC 2.6	sp|P22256|GABT_ECOLI	46 kDa	TRUE	2
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0217483 PE=4 SV=1	rtr|Q555X3|Q555X3_DICDI	?	TRUE	0
UvrABC system protein A (UvrA protein) (	sp|P0A698|UVRA_ECOLI	104 kDa		2
CwfJ family protein OS=Dictyostelium discoideum GN=DDB_0218683 PE=4 SV=1	tr|Q54NJ5|Q54NJ5_DICDI	73 kDa	TRUE	2
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0218082 PE=4 SV=1	tr|Q54YD3|Q54YD3_DICDI	38 kDa		1
rsp|Q1ZXN4|C519C_DICDI	rsp|Q1ZXN4|C519C_DICDI	?		1
"2,3,4,5-tetrahydropyridine-2,6-dicarboxy"	sp|P0A9D8|DAPD_ECOLI	30 kDa		2
RNA-binding region RNP-1 domain-containing protein OS=Dictyostelium discoideum GN=DDB_G0279539 PE=4 SV=1	tr|B0G128|B0G128_DICDI	42 kDa		0
Probable elongator complex protein 2 OS=Dictyostelium discoideum GN=elp2 PE=3 SV=1	sp|Q86H45|ELP2_DICDI	101 kDa	TRUE	5
WD40 repeat-containing protein OS=Dictyostelium discoideum GN=wdr7 PE=4 SV=1	tr|Q86L37|Q86L37_DICDI	148 kDa	TRUE	3
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0202037 PE=4 SV=1	tr|Q55BQ4|Q55BQ4_DICDI	62 kDa	TRUE	1
UPF0169 lipoprotein yfiO precursor.	sp|P0AC02|YFIO_ECOLI	28 kDa		0
Lipoprotein yfgL precursor.	sp|P77774|YFGL_ECOLI	42 kDa		0
Probable ubiquitin-conjugating enzyme E2 variant OS=Dictyostelium discoideum GN=ube2v PE=3 SV=1	sp|Q54D06|UBE2V_DICDI	15 kDa		0
Oxysterol-binding protein 7 OS=Dictyostelium discoideum GN=osbG PE=3 SV=1	sp|Q54RM1|OSB7_DICDI	47 kDa		3
Phosphopentomutase (EC 5.4.2.7) (Phospho	sp|P0A6K6|DEOB_ECOLI	44 kDa		3
Protein phosphatase 2C-related protein OS=Dictyostelium discoideum GN=DDB_0186637 PE=4 SV=1	tr|Q54MU8|Q54MU8_DICDI	44 kDa		0
"Uncharacterized protein family, carbohydrate kinase-related OS=Dictyostelium discoideum GN=DDB_0189092 PE=4 SV=1"	tr|Q54FJ9|Q54FJ9_DICDI	33 kDa		0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0218001 PE=4 SV=1	tr|Q54ZE2|Q54ZE2_DICDI	166 kDa	TRUE	3
Bifunctional polymyxin resistance arnA p	sp|P77398|ARNA_ECOLI	74 kDa		3
Histone H2B.v3 OS=Dictyostelium discoideum GN=H2Bv3 PE=3 SV=1	sp|Q54LP8|H2BV3_DICDI	17 kDa		0
60S ribosomal protein L34 OS=Dictyostelium discoideum GN=rpl34 PE=3 SV=1	sp|Q54LV8|RL34_DICDI	14 kDa	TRUE	0
V-type proton ATPase subunit F OS=Dictyostelium discoideum GN=vatF PE=3 SV=1	sp|Q55AH5|VATF_DICDI	13 kDa		0
Isochorismatase hydrolase OS=Dictyostelium discoideum GN=DDB_G0295669 PE=4 SV=1	tr|B0G192|B0G192_DICDI	20 kDa		0
Putative uncharacterized protein adprt2 OS=Dictyostelium discoideum GN=adprt2 PE=2 SV=1	tr|Q8I7C6|Q8I7C6_DICDI	78 kDa		3
DNA mismatch repair protein Msh2 OS=Dictyostelium discoideum GN=msh2 PE=3 SV=1	sp|Q553L4|MSH2_DICDI	105 kDa	TRUE	4
Elongation factor Tu domain-containing protein OS=Dictyostelium discoideum GN=eftud1 PE=4 SV=1	tr|Q54WF2|Q54WF2_DICDI	130 kDa	TRUE	4
Dynamin-A OS=Dictyostelium discoideum GN=dymA PE=1 SV=2	sp|Q94464|DYNA_DICDI	96 kDa	TRUE	3
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0191698 PE=4 SV=1	tr|Q54CH2|Q54CH2_DICDI	17 kDa	TRUE	0
Lysine-specific demethylase NO66 OS=Dictyostelium discoideum GN=jcdg PE=3 SV=1	sp|Q54K96|NO66_DICDI	59 kDa		0
Cytochrome b5 domain-containing protein OS=Dictyostelium discoideum GN=DDB_0204917 PE=4 SV=1	tr|Q54S39|Q54S39_DICDI	17 kDa		0
Aminopeptidase N (EC 3.4.11.2) (Alpha-am	sp|P04825|AMPN_ECOLI	99 kDa		3
Probable prefoldin subunit 1 OS=Dictyostelium discoideum GN=pfdn1 PE=3 SV=1	sp|Q54JS0|PFD1_DICDI	13 kDa		0
Phenylalanyl-tRNA synthetase beta chain	sp|P07395|SYFB_ECOLI	87 kDa		3
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0168095 PE=4 SV=1	tr|Q557Y8|Q557Y8_DICDI (+1)	141 kDa	TRUE	3
Sec1-like family protein OS=Dictyostelium discoideum GN=vps33 PE=4 SV=1	tr|Q54F53|Q54F53_DICDI	73 kDa		3
DNA repair protein radA (DNA repair prot	sp|P24554|RADA_ECOLI	49 kDa		3
RNA-binding region RNP-1 domain-containing protein OS=Dictyostelium discoideum GN=DDB_0183926 PE=4 SV=1	tr|Q54EJ3|Q54EJ3_DICDI	53 kDa		0
Short-chain dehydrogenase/reductase family protein OS=Dictyostelium discoideum GN=DDB_0190188 PE=3 SV=1	tr|Q55E92|Q55E92_DICDI	31 kDa		0
Copine-B OS=Dictyostelium discoideum GN=cpnB-1 PE=2 SV=1	sp|Q86K21|CPNB_DICDI	59 kDa		0
30S ribosomal protein S8.	sp|P0A7W7|RS8_ECOLI	14 kDa		0
Maltose-binding periplasmic protein prec	sp|P0AEX9|MALE_ECOLI	43 kDa		0
Mitochondrial import inner membrane translocase subunit Tim10 OS=Dictyostelium discoideum GN=timm10 PE=3 SV=1	sp|Q54NZ0|TIM10_DICDI	10 kDa		0
ADP-ribosylation factor-like protein 8 OS=Dictyostelium discoideum GN=arl8 PE=3 SV=1	sp|Q54R04|ARL8_DICDI	21 kDa		0
Extracellular superoxide dismutase [Cu-Zn] 2 OS=Dictyostelium discoideum GN=sodB PE=2 SV=1	sp|Q54RN1|SODC2_DICDI	45 kDa		0
"3'(2'),5'-bisphosphate nucleotidase 1 OS=Dictyostelium discoideum GN=bpnt1 PE=3 SV=1"	sp|Q869K3|BPNT1_DICDI	34 kDa		0
Ras-related protein Rab-5A OS=Dictyostelium discoideum GN=rab5A PE=3 SV=1	sp|Q86JP3|RAB5A_DICDI	22 kDa		3
Ubiquitin conjugating enzyme E2 B OS=Dictyostelium discoideum GN=ubcB PE=1 SV=1	sp|Q94490|UBCB_DICDI	17 kDa		0
Penta-EF hand domain-containing protein 1 OS=Dictyostelium discoideum GN=pefA PE=1 SV=1	sp|Q95YL5|PEFA_DICDI	22 kDa		0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0218202 PE=4 SV=1	tr|Q54W51|Q54W51_DICDI	34 kDa		0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0217219 PE=3 SV=1	tr|Q557E6|Q557E6_DICDI	39 kDa		3
Trafficking protein particle complex subunit 3 OS=Dictyostelium discoideum GN=trappc3 PE=3 SV=2	sp|Q86K94|TPPC3_DICDI	21 kDa		0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0204191 PE=4 SV=1	tr|Q54SN3|Q54SN3_DICDI	28 kDa	TRUE	0
6-pyruvoyl tetrahydrobiopterin synthase OS=Dictyostelium discoideum GN=ptsA PE=3 SV=1	sp|Q1ZXI0|PTPS_DICDI	16 kDa		0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_G0288465 PE=4 SV=1	tr|Q54IX0|Q54IX0_DICDI	48 kDa	TRUE	0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0217591 PE=4 SV=1	tr|Q554M4|Q554M4_DICDI	21 kDa		0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0168929 PE=4 SV=1	tr|Q86IF9|Q86IF9_DICDI	85 kDa		3
Calcium-binding protein B OS=Dictyostelium discoideum GN=cbpB PE=4 SV=1	sp|Q54QX0|CBPB_DICDI	16 kDa		0
COMM domain-containing protein 3 OS=Dictyostelium discoideum GN=commd3 PE=4 SV=1	sp|Q54QK4|COMD3_DICDI	23 kDa		0
Beta-xylosidase-like protein OS=Dictyostelium discoideum GN=DDB_0187875 PE=4 SV=1	tr|Q54J53|Q54J53_DICDI	56 kDa		0
Acetyl-coenzyme A synthetase (EC 6.2.1.1	sp|P27550|ACSA_ECOLI	72 kDa		3
ABC transporter G family member 9 OS=Dictyostelium discoideum GN=abcG9 PE=3 SV=1	sp|Q8T683|ABCG9_DICDI	164 kDa	TRUE	7
Probable myosin light chain kinase DDB_G0282429 OS=Dictyostelium discoideum GN=DDB_G0282429 PE=3 SV=1	sp|Q54SJ5|MYLKC_DICDI	35 kDa	TRUE	3
Cytochrome b OS=Dictyostelium discoideum GN=cytB PE=3 SV=1	sp|Q37311|CYB_DICDI	44 kDa		3
COMM domain-containing protein 8 OS=Dictyostelium discoideum GN=commd8 PE=4 SV=1	sp|Q54CU8|COMD8_DICDI	24 kDa		0
Outer membrane lipoprotein slyB precurso	sp|P0A905|SLYB_ECOLI	16 kDa		0
Long-chain fatty acid transport protein	sp|P10384|FADL_ECOLI	49 kDa		0
Aldehyde dehydrogenase B (EC 1.2.1.-).	sp|P37685|ALDB_ECOLI	56 kDa		2
Histone H1 OS=Dictyostelium discoideum GN=H1 PE=1 SV=3	sp|P54671|H1_DICDI	19 kDa		2
Hypothetical protein yrbD precursor.	sp|P64604|YRBD_ECOLI	20 kDa		0
"3',5'-cyclic-nucleotide phosphodiesterase regA OS=Dictyostelium discoideum GN=regA PE=1 SV=1"	sp|Q23917|PDE2_DICDI	91 kDa		2
Superoxide dismutase [Cu-Zn] 5 OS=Dictyostelium discoideum GN=sodE PE=3 SV=1	sp|Q54G70|SODC5_DICDI	16 kDa		0
FAD-linked oxidoreductase DDB_G0289697 OS=Dictyostelium discoideum GN=DDB_G0289697 PE=2 SV=1	sp|Q54H55|Y8969_DICDI	50 kDa		0
Peroxisomal membrane protein 11 homolog OS=Dictyostelium discoideum GN=pex11 PE=3 SV=1	sp|Q54H86|PEX11_DICDI	29 kDa		2
Probable prefoldin subunit 6 OS=Dictyostelium discoideum GN=pfdn6 PE=3 SV=1	sp|Q54M71|PFD6_DICDI	16 kDa		0
COMM domain-containing protein 2 OS=Dictyostelium discoideum GN=commd2 PE=4 SV=1	sp|Q54P14|COMD2_DICDI	23 kDa		0
UPF0363 protein OS=Dictyostelium discoideum GN=DDB_G0281815 PE=3 SV=1	sp|Q54TH4|U363_DICDI	35 kDa		0
Predicted HD phosphohydrolase family protein OS=Dictyostelium discoideum GN=DDB_G0289831 PE=4 SV=1	tr|Q54GY3|Q54GY3_DICDI	26 kDa	TRUE	0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0219445 PE=4 SV=1	tr|Q54HD3|Q54HD3_DICDI	62 kDa	TRUE	0
NADH:flavin oxidoreductase/NADH oxidase domain-containing protein OS=Dictyostelium discoideum GN=DDB_0187621 PE=4 SV=1	tr|Q54JW3|Q54JW3_DICDI	49 kDa	TRUE	2
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0186510 PE=4 SV=1	tr|Q54N75|Q54N75_DICDI	30 kDa	TRUE	0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0202833 PE=4 SV=1	tr|Q55BD4|Q55BD4_DICDI	70 kDa	TRUE	2
Ubiquitin carboxyl-terminal hydrolase OS=Dictyostelium discoideum GN=usp7 PE=3 SV=1	tr|Q869U4|Q869U4_DICDI	150 kDa	TRUE	2
Rab escort protein OS=Dictyostelium discoideum GN=DDB_G0280143 PE=4 SV=1	tr|Q54VT9|Q54VT9_DICDI	75 kDa		2
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0189319 PE=4 SV=1	tr|Q55GW1|Q55GW1_DICDI	18 kDa		0
Heat shock cognate 70 kDa protein 3 OS=Dictyostelium discoideum GN=DDB_G0293674 PE=3 SV=1	sp|Q54BE0|HS7C3_DICDI	70 kDa	TRUE	0
Myb domain-containing protein OS=Dictyostelium discoideum GN=DDB_G0278179 PE=4 SV=1	tr|Q54YL9|Q54YL9_DICDI	73 kDa		2
Aspartate ammonia-lyase (EC 4.3.1.1) (As	sp|P0AC38|ASPA_ECOLI	52 kDa		2
Probable carboxypeptidase S-like 2 OS=Dictyostelium discoideum GN=DDB_G0267984 PE=3 SV=1	sp|Q55FR8|CBPS2_DICDI	59 kDa		0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0186532 PE=4 SV=1	tr|Q54N53|Q54N53_DICDI	21 kDa		0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0219868 PE=4 SV=1	tr|Q54BP0|Q54BP0_DICDI	21 kDa		2
rtr|Q55C43|Q55C43_DICDI	rtr|Q55C43|Q55C43_DICDI	?	TRUE	6
TFIIH basal transcription factor complex helicase repB subunit OS=Dictyostelium discoideum GN=repB PE=2 SV=1	sp|O00835|ERCC3_DICDI	90 kDa		2
"Alpha,alpha-trehalose-phosphate synthase [UDP-forming] B OS=Dictyostelium discoideum GN=tpsB PE=3 SV=1"	sp|Q54NU9|TPSB_DICDI	91 kDa	TRUE	2
"DNA topoisomerase 2, mitochondrial OS=Dictyostelium discoideum GN=top2mt PE=2 SV=2"	sp|P90520|TOP2M_DICDI	146 kDa		2
Hydroxymethylglutaryl-CoA lyase OS=Dictyostelium discoideum GN=hmgL PE=4 SV=1	tr|Q54QI7|Q54QI7_DICDI	44 kDa		0
Lipoprotein nlpD precursor.	sp|P0ADA3|NLPD_ECOLI	40 kDa		0
Aconitate hydratase 1 (EC 4.2.1.3) (Citr	sp|P25516|ACON1_ECOLI	98 kDa		2
50S ribosomal protein L24.	sp|P60624|RL24_ECOLI	11 kDa		0
WASH complex subunit 7 homolog OS=Dictyostelium discoideum GN=DDB_G0283355 PE=1 SV=1	sp|Q54R74|WAHS7_DICDI	132 kDa	TRUE	2
Mitochondrial substrate carrier family protein S OS=Dictyostelium discoideum GN=mcfS PE=3 SV=1	sp|Q54FE6|MCFS_DICDI	31 kDa	TRUE	2
Glycerol kinase (EC 2.7.1.30) (ATP:glyce	sp|P0A6F3|GLPK_ECOLI	56 kDa		2
AP-1 complex subunit mu OS=Dictyostelium discoideum GN=apm1 PE=1 SV=1	sp|Q54HS9|AP1M_DICDI	49 kDa		2
Probable serine carboxypeptidase CPVL OS=Dictyostelium discoideum GN=cpvl PE=3 SV=1	sp|Q869Q8|CPVL_DICDI	57 kDa		2
Discoidin I-gamma (Fragment) OS=Dictyostelium discoideum PE=4 SV=1	tr|Q23900|Q23900_DICDI	4 kDa		2
Mitochondrial division protein fszA OS=Dictyostelium discoideum GN=fszA PE=3 SV=1	sp|Q54Z54|FTSZA_DICDI	57 kDa		2
Beta-hexosaminidase (EC 3.2.1.52) (N-ace	sp|P75949|NAGZ_ECOLI	38 kDa		0
60S ribosomal protein L37 OS=Dictyostelium discoideum GN=rpl37 PE=3 SV=1	sp|Q54MG6|RL37_DICDI	10 kDa		0
"Class II aldolase/adducin, N-terminal domain-containing protein OS=Dictyostelium discoideum GN=DDB_G0284915 PE=4 SV=1"	tr|Q54NY7|Q54NY7_DICDI	27 kDa		0
