Identified Proteins (1436)	Accession Number	Molecular Weight	Protein Grouping Ambiguity	Galpha8-GppNHp
Ras-related protein RabC OS=Dictyostelium discoideum GN=rabC PE=2 SV=2	sp|P34143|RABC_DICDI	22 kDa	TRUE	5
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0187741 PE=4 SV=1	tr|Q54JI8|Q54JI8_DICDI	53 kDa	TRUE	0
"Uncharacterized protein family, carbohydrate kinase-related OS=Dictyostelium discoideum GN=DDB_0189092 PE=4 SV=1"	tr|Q54FJ9|Q54FJ9_DICDI	33 kDa		0
Pantoate--beta-alanine ligase OS=Dictyostelium discoideum GN=panC PE=3 SV=1	sp|Q54I80|PANC_DICDI	34 kDa	TRUE	2
Ras-related protein Rab-18 OS=Dictyostelium discoideum GN=rab18 PE=3 SV=1	sp|Q54GY8|RAB18_DICDI	23 kDa	TRUE	3
Sumo-conjugating enzyme ubc9 OS=Dictyostelium discoideum GN=ubc9 PE=3 SV=1	sp|Q9NGP4|UBC9_DICDI	18 kDa		0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0167338 PE=4 SV=1	tr|Q869L9|Q869L9_DICDI	51 kDa		2
Probable eukaryotic translation initiation factor 6 OS=Dictyostelium discoideum GN=eif6 PE=3 SV=1	sp|Q551M2|IF6_DICDI	26 kDa		0
RNA recognition motif-containing protein RRM OS=Dictyostelium discoideum GN=DDB_0204324 PE=4 SV=1	tr|Q54Z21|Q54Z21_DICDI	56 kDa		2
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0185806 PE=4 SV=1	tr|Q54Q82|Q54Q82_DICDI	50 kDa		2
Coatomer subunit beta' OS=Dictyostelium discoideum GN=copb2 PE=3 SV=1	rsp|Q54YD8|COPB2_DICDI	113 kDa		0
Hydroxymethylglutaryl-CoA synthase A OS=Dictyostelium discoideum GN=hgsA PE=1 SV=2	sp|P54872|HMCSA_DICDI	54 kDa		0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0185382 PE=3 SV=1	tr|Q54RH6|Q54RH6_DICDI	59 kDa	TRUE	0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0186532 PE=4 SV=1	tr|Q54N53|Q54N53_DICDI	21 kDa		0
10 kDa chaperonin (Protein Cpn10) (groES	sp|P0A6F9|CH10_ECOLI	10 kDa		3
Filamin/ABP280 repeat-containing protein OS=Dictyostelium discoideum GN=DDB_0188475 PE=4 SV=1	tr|Q54HA8|Q54HA8_DICDI	56 kDa		2
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0202068 PE=4 SV=1	tr|Q55GV1|Q55GV1_DICDI	79 kDa		0
Density-regulated protein homolog OS=Dictyostelium discoideum GN=denr PE=3 SV=1	sp|Q54WG0|DENR_DICDI	25 kDa		3
NHP2-like protein 1 homolog OS=Dictyostelium discoideum GN=DDB_G0282243 PE=3 SV=1	sp|Q54ST0|NH2L1_DICDI	14 kDa		2
50S ribosomal protein L11.	sp|P0A7J7|RL11_ECOLI	15 kDa		2
Fructose-bisphosphate aldolase class II	sp|P0AB71|ALF_ECOLI	39 kDa		2
Putative acetyltransferase DDB_G0275507 OS=Dictyostelium discoideum GN=DDB_G0275507 PE=3 SV=1	sp|Q86A05|Y5507_DICDI	21 kDa		0
ATPase subunit 4 OS=Dictyostelium discoideum GN=atp4 PE=4 SV=1	tr|A9CLV8|A9CLV8_DICDI	15 kDa		2
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0217949 PE=4 SV=1	tr|Q54ZW2|Q54ZW2_DICDI	15 kDa		3
AhpC/TSA family protein OS=Dictyostelium discoideum GN=DDB_G0279973 PE=4 SV=1	tr|Q54W09|Q54W09_DICDI	17 kDa	TRUE	5
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0192224 PE=4 SV=1	tr|Q54B13|Q54B13_DICDI	13 kDa		3
Myosin regulatory light chain OS=Dictyostelium discoideum GN=mlcR PE=2 SV=1	sp|P13833|MLR_DICDI	18 kDa	TRUE	3
ARF-like protein OS=Dictyostelium discoideum GN=arl1 PE=3 SV=2	tr|Q54JB7|Q54JB7_DICDI	20 kDa	TRUE	0
NADH-ubiquinone oxidoreductase chain 2 OS=Dictyostelium discoideum GN=nad2 PE=3 SV=1	sp|O21048|NU2M_DICDI	55 kDa		0
DNA-binding protein H-NS (Histone-like p	sp|P0ACF8|HNS_ECOLI	15 kDa	TRUE	4
Elongation factor Ts (EF-Ts).	sp|P0A6P1|EFTS_ECOLI	30 kDa		3
Pyruvate dehydrogenase E1 component (EC	sp|P0AFG8|ODP1_ECOLI	100 kDa	TRUE	0
Extracellular signal-regulated kinase 2 OS=Dictyostelium discoideum GN=erkB PE=2 SV=1	sp|Q54QB1|ERK2_DICDI	42 kDa		3
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0187238 PE=4 SV=1	tr|Q54KY9|Q54KY9_DICDI	33 kDa		0
Erk2-dependent phosphoprotein OS=Dictyostelium discoideum GN=eppA PE=4 SV=1	tr|Q54RC0|Q54RC0_DICDI	45 kDa		4
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0217155 PE=4 SV=1	tr|Q557I5|Q557I5_DICDI	32 kDa		0
Cytosolic Fe-S cluster assembly factor NUBP2 homolog OS=Dictyostelium discoideum GN=nubp2 PE=3 SV=1	sp|Q76NZ7|NUBP2_DICDI	29 kDa	TRUE	2
Probable myosin light chain kinase DDB_G0275057 OS=Dictyostelium discoideum GN=DDB_G0275057 PE=3 SV=1	sp|Q869W6|MYLKG_DICDI	39 kDa	TRUE	2
Osmotically inducible family protein OS=Dictyostelium discoideum GN=DDB_0190245 PE=4 SV=1	tr|Q55E30|Q55E30_DICDI	17 kDa		0
PhoH-like protein.	sp|P0A9K3|PHOL_ECOLI	41 kDa		2
Ponticulin OS=Dictyostelium discoideum GN=ponA PE=1 SV=1	sp|P54660|PONA_DICDI	15 kDa		2
Probable serine carboxypeptidase CPVL OS=Dictyostelium discoideum GN=cpvl PE=3 SV=1	sp|Q869Q8|CPVL_DICDI	57 kDa		0
Ubiquitin carboxyl-terminal hydrolase OS=Dictyostelium discoideum GN=usp40 PE=3 SV=1	tr|Q54H96|Q54H96_DICDI	190 kDa		0
Ponticulin-like protein C4 OS=Dictyostelium discoideum GN=ponC4 PE=3 SV=1	sp|Q54LC1|PONC4_DICDI (+3)	15 kDa		3
Pectin lyase-like family protein OS=Dictyostelium discoideum GN=DDB_0205366 PE=4 SV=1	tr|Q54YC0|Q54YC0_DICDI	63 kDa	TRUE	0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0168344 PE=4 SV=2	tr|Q8T2R4|Q8T2R4_DICDI	17 kDa		0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0187714 PE=4 SV=1	tr|Q54JL5|Q54JL5_DICDI	39 kDa	TRUE	0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0215759 PE=4 SV=1	tr|Q54PL4|Q54PL4_DICDI	24 kDa		0
ATP-dependent RNA helicase ddx19 OS=Dictyostelium discoideum GN=helC PE=2 SV=1	sp|Q54TF8|DDX19_DICDI	52 kDa		3
Cullin-2 OS=Dictyostelium discoideum GN=culB PE=2 SV=1	sp|Q9XZJ3|CUL2_DICDI	90 kDa	TRUE	0
Dolichol-phosphate mannosyltransferase OS=Dictyostelium discoideum GN=dpm1 PE=3 SV=1	sp|Q54LP3|DPM1_DICDI	29 kDa		0
Acyl-CoA-binding protein OS=Dictyostelium discoideum GN=acbA PE=1 SV=1	sp|Q5FXM5|ACBP_DICDI	9 kDa		2
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0187661 PE=4 SV=1	tr|Q54JS1|Q54JS1_DICDI	52 kDa		0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0216575 PE=4 SV=1	tr|Q55FP6|Q55FP6_DICDI	53 kDa		0
NEDD8-conjugating enzyme Ubc12 OS=Dictyostelium discoideum GN=ube2m PE=3 SV=1	sp|Q54TI6|UBC12_DICDI	26 kDa		3
DNA repair protein radA (DNA repair prot	sp|P24554|RADA_ECOLI	49 kDa		2
Exportin-4 OS=Dictyostelium discoideum GN=xpo4 PE=3 SV=1	sp|Q54UP5|XPO4_DICDI	130 kDa		0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0187589 PE=4 SV=1	tr|Q54JZ6|Q54JZ6_DICDI	47 kDa		3
tRNA (guanine-N(7)-)-methyltransferase subunit WDR4 OS=Dictyostelium discoideum GN=wdr4 PE=3 SV=1	sp|Q54UI3|WDR4_DICDI	53 kDa		2
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0169426 PE=4 SV=1	tr|Q7KWR8|Q7KWR8_DICDI	15 kDa		0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0203511 PE=4 SV=1	tr|Q552H9|Q552H9_DICDI	56 kDa		0
Ras-related protein Rab-21 OS=Dictyostelium discoideum GN=rab21 PE=1 SV=2	sp|P34142|RAB21_DICDI	23 kDa		0
Protein hook homolog OS=Dictyostelium discoideum GN=hook PE=3 SV=1	sp|Q54IK9|HOOK_DICDI	84 kDa		0
Protein arginine N-methyltransferase 1 OS=Dictyostelium discoideum GN=prmt1 PE=3 SV=1	sp|Q54EF2|ANM1_DICDI	39 kDa	TRUE	0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0184474 PE=4 SV=1	tr|Q54CZ8|Q54CZ8_DICDI	27 kDa	TRUE	0
Casein kinase I OS=Dictyostelium discoideum GN=cak1-1 PE=1 SV=1	sp|Q556Y4|KC1_DICDI	49 kDa		0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0189783 PE=4 SV=1	tr|Q55FH5|Q55FH5_DICDI	15 kDa		4
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_G0272913 PE=4 SV=2	tr|Q559E5|Q559E5_DICDI	28 kDa		2
Eukaryotic translation initiation factor 3 subunit G OS=Dictyostelium discoideum GN=eif3g PE=3 SV=1	sp|Q54WM4|EIF3G_DICDI	27 kDa		0
NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 6 OS=Dictyostelium discoideum GN=ndufa6 PE=3 SV=1	sp|Q54F42|NDUA6_DICDI	15 kDa		3
Putative uncharacterized protein pelo OS=Dictyostelium discoideum GN=pelo PE=4 SV=1	tr|Q54VC8|Q54VC8_DICDI	51 kDa		2
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0167511 PE=4 SV=1	tr|Q8T2R0|Q8T2R0_DICDI	27 kDa		2
WD40 repeat-containing protein OS=Dictyostelium discoideum GN=utp5 PE=4 SV=1	tr|Q8T2Q3|Q8T2Q3_DICDI	65 kDa	TRUE	0
Phosphate acetyltransferase (EC 2.3.1.8)	sp|P0A9M8|PTA_ECOLI	77 kDa		0
Counting factor-associated protein C OS=Dictyostelium discoideum GN=cfaC PE=4 SV=1	sp|Q86HB8|CFAC_DICDI	24 kDa	TRUE	0
SURF1-like protein OS=Dictyostelium discoideum GN=surf1-1 PE=3 SV=2	sp|Q556J9|SURF1_DICDI	32 kDa		0
Protein arginine N-methyltransferase 2 OS=Dictyostelium discoideum GN=prmt2 PE=3 SV=1	sp|Q54HI0|ANM2_DICDI	59 kDa	TRUE	0
Ferric uptake regulation protein (Ferric	sp|P0A9A9|FUR_ECOLI	17 kDa		5
Geranylgeranyl transferase type-1 subunit beta OS=Dictyostelium discoideum GN=pggt1b PE=2 SV=1	sp|Q55DA3|PGTB1_DICDI	39 kDa		0
NUDIX hydrolase family protein OS=Dictyostelium discoideum GN=DDB_0189010 PE=4 SV=1	tr|Q54FR0|Q54FR0_DICDI	21 kDa		0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0186849 PE=4 SV=1	tr|Q54M57|Q54M57_DICDI	58 kDa		0
Signal peptidase complex catalytic subunit sec11 OS=Dictyostelium discoideum GN=sec11 PE=3 SV=1	sp|Q86JD4|SEC11_DICDI	20 kDa		0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_G0289171 PE=4 SV=1	tr|Q54HW8|Q54HW8_DICDI	39 kDa		0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0185734 PE=4 SV=1	tr|Q54QF3|Q54QF3_DICDI	29 kDa	TRUE	0
SCF ubiquitin ligase complex protein SKP1a OS=Dictyostelium discoideum GN=fpaA PE=1 SV=1	sp|P52285|SKP1A_DICDI (+1)	19 kDa	TRUE	2
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0185376 PE=4 SV=1	tr|Q54RI2|Q54RI2_DICDI	45 kDa		0
Probable geranylgeranyl transferase type-2 subunit beta OS=Dictyostelium discoideum GN=rabggtb PE=3 SV=1	sp|B0G172|PGTB2_DICDI	38 kDa	TRUE	2
D-methionine-binding lipoprotein metQ pr	sp|P28635|METQ_ECOLI	29 kDa		0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0205001 PE=3 SV=1	tr|Q54RW8|Q54RW8_DICDI	41 kDa	TRUE	2
Tyrosine aminotransferase OS=Dictyostelium discoideum GN=tat PE=3 SV=1	sp|Q54K95|ATTY_DICDI	46 kDa		2
COBW domain-containing protein OS=Dictyostelium discoideum GN=DDB_G0281589 PE=4 SV=2	tr|Q54TS3|Q54TS3_DICDI	45 kDa	TRUE	2
UPF0027 protein OS=Dictyostelium discoideum GN=DDB_G0278481 PE=3 SV=1	sp|Q54Y09|U027_DICDI	56 kDa		2
Translation initiation factor eIF-2B subunit alpha OS=Dictyostelium discoideum GN=eif2b1 PE=3 SV=1	sp|Q54I81|EI2BA_DICDI	36 kDa		0
Myotrophin homolog OS=Dictyostelium discoideum GN=mtpn PE=3 SV=1	sp|Q55FM5|MTPN_DICDI	13 kDa		3
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0203480 PE=4 SV=1	tr|Q551Y3|Q551Y3_DICDI	42 kDa		2
COMM domain-containing protein 7 OS=Dictyostelium discoideum GN=commd7 PE=4 SV=1	sp|Q86I14|COMD7_DICDI	24 kDa		0
Histone-like protein HLP-1 precursor (DN	sp|P0AEU7|HLPA_ECOLI	18 kDa		3
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0189492 PE=4 SV=1	tr|Q55GC9|Q55GC9_DICDI	26 kDa		0
Autophagy-related protein 3 OS=Dictyostelium discoideum GN=atg3 PE=3 SV=3	sp|Q550A8|ATG3_DICDI	39 kDa		2
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0206285 PE=4 SV=1	tr|Q54XI0|Q54XI0_DICDI	160 kDa	TRUE	0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0217857 PE=4 SV=1	tr|Q550W5|Q550W5_DICDI	32 kDa		0
Short-chain dehydrogenase/reductase family protein OS=Dictyostelium discoideum GN=DDB_0185652 PE=3 SV=1	tr|Q54QN6|Q54QN6_DICDI	27 kDa		2
Putative uncharacterized protein OS=Dictyostelium discoideum GN=gag PE=2 SV=1	tr|O15723|O15723_DICDI (+2)	43 kDa	TRUE	0
C2H2-type zinc finger-containing protein OS=Dictyostelium discoideum GN=DDB_G0290029 PE=4 SV=1	tr|Q54GN9|Q54GN9_DICDI	47 kDa		2
Guanine nucleotide-binding protein alpha-2 subunit OS=Dictyostelium discoideum GN=gpaB PE=1 SV=3	sp|P16051|GPA2_DICDI	41 kDa	TRUE	8
Ribose-phosphate pyrophosphokinase B OS=Dictyostelium discoideum GN=prsB PE=3 SV=1	sp|Q75JN8|PRPSB_DICDI	36 kDa		3
EGF-like domain-containing protein OS=Dictyostelium discoideum GN=DDB_G0286867 PE=4 SV=2	tr|Q54L67|Q54L67_DICDI	160 kDa	TRUE	0
Chaperone protein dnaJ (Heat shock prote	sp|P08622|DNAJ_ECOLI	41 kDa		4
Probable inosine triphosphate pyrophosphatase OS=Dictyostelium discoideum GN=itpa PE=3 SV=1	sp|Q54LQ6|ITPA_DICDI	22 kDa		0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0185317 PE=4 SV=1	tr|Q54RP2|Q54RP2_DICDI	21 kDa		2
30S ribosomal protein S10.	sp|P0A7R5|RS10_ECOLI	12 kDa		4
RNase P protein subunit OS=Dictyostelium discoideum GN=drpp25 PE=4 SV=1	tr|Q54U04|Q54U04_DICDI	39 kDa		4
Probable carboxypeptidase S-like 2 OS=Dictyostelium discoideum GN=DDB_G0267984 PE=3 SV=1	sp|Q55FR8|CBPS2_DICDI	59 kDa	TRUE	0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0187006 PE=4 SV=1	tr|Q54LM9|Q54LM9_DICDI	17 kDa		2
WD repeat-containing protein 55 homolog OS=Dictyostelium discoideum GN=wdr55 PE=3 SV=1	sp|Q54SA5|WDR55_DICDI	46 kDa		2
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0189134 PE=4 SV=1	tr|Q54FF8|Q54FF8_DICDI	20 kDa	TRUE	0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0189200 PE=4 SV=1	tr|Q54F95|Q54F95_DICDI	35 kDa	TRUE	0
Trafficking protein particle complex subunit 3 OS=Dictyostelium discoideum GN=trappc3 PE=3 SV=2	sp|Q86K94|TPPC3_DICDI	21 kDa		2
Proteasome activator 28 OS=Dictyostelium discoideum GN=psmE3 PE=1 SV=1	sp|Q967U1|PSME_DICDI	26 kDa	TRUE	0
Gamma-soluble NSF attachment protein OS=Dictyostelium discoideum GN=snpC PE=1 SV=1	sp|Q9U9R7|SNAG_DICDI	37 kDa		2
Sphingomyelin phosphodiesterase A OS=Dictyostelium discoideum GN=sgmA PE=3 SV=1	sp|Q55C09|SGMA_DICDI	65 kDa		0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0184122 PE=4 SV=1	tr|Q54DZ8|Q54DZ8_DICDI	55 kDa		0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0217219 PE=3 SV=1	tr|Q557E6|Q557E6_DICDI	39 kDa		2
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0203539 PE=4 SV=1	tr|Q552K6|Q552K6_DICDI	25 kDa		2
N utilization substance protein B (Prote	sp|P0A780|NUSB_ECOLI	16 kDa		2
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0217677 PE=4 SV=2	tr|Q553I0|Q553I0_DICDI	13 kDa		2
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0187407 PE=4 SV=1	tr|Q54KJ9|Q54KJ9_DICDI	20 kDa		0
Extracellular superoxide dismutase [Cu-Zn] 2 OS=Dictyostelium discoideum GN=sodB PE=2 SV=1	sp|Q54RN1|SODC2_DICDI	45 kDa		0
Probable prefoldin subunit 4 OS=Dictyostelium discoideum GN=pfdn4 PE=3 SV=1	sp|Q54TB7|PFD4_DICDI	15 kDa		3
Peptidase S28 family protein OS=Dictyostelium discoideum GN=DDB_G0290139 PE=4 SV=2	tr|Q54GI7|Q54GI7_DICDI	53 kDa		0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0187209 PE=4 SV=1	tr|Q54L19|Q54L19_DICDI	34 kDa		0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0190960 PE=4 SV=1	tr|Q55BY3|Q55BY3_DICDI	9 kDa		2
Phox domain-containing protein OS=Dictyostelium discoideum GN=DDB_G0289833 PE=1 SV=1	tr|Q54GY1|Q54GY1_DICDI	22 kDa		3
Mitochondrial import inner membrane translocase subunit Tim10 OS=Dictyostelium discoideum GN=timm10 PE=3 SV=1	sp|Q54NZ0|TIM10_DICDI	10 kDa		3
Probable myosin light chain kinase DDB_G0282429 OS=Dictyostelium discoideum GN=DDB_G0282429 PE=3 SV=1	sp|Q54SJ5|MYLKC_DICDI	35 kDa		2
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0189841 PE=4 SV=1	tr|Q55FB3|Q55FB3_DICDI	15 kDa		2
UPF0522 protein A OS=Dictyostelium discoideum GN=DDB_G0288095 PE=3 SV=1	sp|Q54JE8|U522A_DICDI	54 kDa		0
40S ribosomal protein S27 OS=Dictyostelium discoideum GN=rps27 PE=3 SV=2	sp|Q8T1V4|RS27_DICDI	9 kDa		3
"60S ribosomal protein L11, mitochondrial OS=Dictyostelium discoideum GN=mrpl11 PE=3 SV=1"	sp|Q23884|RM11_DICDI	20 kDa		2
Uncharacterized mitochondrial protein Mp05 OS=Dictyostelium discoideum GN=DidioMp05 PE=4 SV=1	sp|O21050|MP05_DICDI	53 kDa	TRUE	0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0204253 PE=4 SV=1	tr|Q54TC4|Q54TC4_DICDI	66 kDa		0
Activator of 90 kDa heat shock protein ATPase homolog OS=Dictyostelium discoideum GN=ahsa PE=2 SV=1	sp|Q55DB6|AHSA_DICDI	43 kDa		2
WD40 repeat-containing protein OS=Dictyostelium discoideum GN=nup43 PE=4 SV=1	tr|Q54Z22|Q54Z22_DICDI	47 kDa		0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0216102 PE=4 SV=1	tr|Q54HI5|Q54HI5_DICDI	81 kDa	TRUE	0
50S ribosomal protein L24.	sp|P60624|RL24_ECOLI	11 kDa		2
Palmitoyl-protein thioesterase 2 OS=Dictyostelium discoideum GN=ppt2 PE=4 SV=1	tr|Q54IE5|Q54IE5_DICDI	35 kDa		0
ATP-dependent hsl protease ATP-binding s	sp|P0A6H5|HSLU_ECOLI	50 kDa		2
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0183821 PE=4 SV=1	tr|Q54EU8|Q54EU8_DICDI	26 kDa		0
Probable ran guanine nucleotide release factor OS=Dictyostelium discoideum GN=mog1 PE=3 SV=1	sp|Q54ML6|MOG1_DICDI	22 kDa	TRUE	0
Rab escort protein OS=Dictyostelium discoideum GN=DDB_G0280143 PE=4 SV=1	rtr|Q54VT9|Q54VT9_DICDI	75 kDa		0
Nuclear movement protein nudC OS=Dictyostelium discoideum GN=nudc PE=3 SV=1	sp|Q54M64|NUDC_DICDI	20 kDa	TRUE	2
Ubiquitin-conjugating enzyme E2 2 OS=Dictyostelium discoideum GN=ubc2 PE=3 SV=2	sp|Q553F3|UBC2_DICDI	17 kDa		2
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0184562 PE=4 SV=1	tr|Q54CT5|Q54CT5_DICDI	41 kDa		0
Mitochondrial import inner membrane translocase subunit Tim9 OS=Dictyostelium discoideum GN=timm9 PE=3 SV=1	sp|Q559H1|TIM9_DICDI	10 kDa		2
